,epoch,loss_train,loss_val,loss_test,train_roc,val_roc,test_roc
0,0,83.92115570604801,5.0259561613202095,7.45282793790102,{'rocauc': 0.5184174100158581},{'rocauc': 0.6709931657848323},{'rocauc': 0.723806948763012}
1,1,70.0917035639286,4.69123799353838,6.828823368996382,{'rocauc': 0.6256873553678},{'rocauc': 0.672165882814031},{'rocauc': 0.747117557310879}
2,2,66.87321175634861,4.734331738203764,6.635177008807659,{'rocauc': 0.6844428089987628},{'rocauc': 0.6905251812659219},{'rocauc': 0.759228644817397}
3,3,64.6161339469254,4.520589265972376,6.537792474031448,{'rocauc': 0.7046466176313188},{'rocauc': 0.7055745394865766},{'rocauc': 0.7655227022538094}
4,4,61.1383319683373,4.497346445918083,6.231124483048916,{'rocauc': 0.740487132937163},{'rocauc': 0.7142704046639232},{'rocauc': 0.7711195658471581}
5,5,59.5434649810195,4.360929153859615,6.24187284335494,{'rocauc': 0.7562016406104868},{'rocauc': 0.7506736233588086},{'rocauc': 0.77371521273103}
6,6,58.125808376818895,4.454360596835613,6.392878655344248,{'rocauc': 0.7702867228921888},{'rocauc': 0.7529363854595336},{'rocauc': 0.7771123428416925}
7,7,56.68913088366389,4.213805645704269,6.129614595323801,{'rocauc': 0.7929005555844895},{'rocauc': 0.7756068734077994},{'rocauc': 0.7963537341393228}
8,8,54.05969612300396,3.929999526590109,6.124930076301098,{'rocauc': 0.8075919884372156},{'rocauc': 0.7884302126200273},{'rocauc': 0.7815871299175341}
9,9,52.46225520409644,3.9066730737686157,6.036756491288543,{'rocauc': 0.8176152459511186},{'rocauc': 0.7840547227121301},{'rocauc': 0.7920450375634911}
10,10,51.768600068986416,3.8930484503507614,6.06021237000823,{'rocauc': 0.8241334857554583},{'rocauc': 0.7844466490299825},{'rocauc': 0.7879989957318603}
11,11,50.53917818516493,3.8554106038063765,6.0170565359294415,{'rocauc': 0.8272809597488304},{'rocauc': 0.7899856701940036},{'rocauc': 0.7837115432897507}
